,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57
17,11,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,13,6,6,6,4,0,6,6,5,6,6,6,0,6,6,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,12,6,5,6,6,0,6,6,6,6,6,6,0,6,6,5,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,11,6,6,5,6,0,6,6,6,6,6,6,0,6,6,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,11,6,6,6,6,0,6,6,6,5,6,6,0,6,6,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12,6,5,6,6,0,6,6,6,6,6,6,0,6,5,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,11,6,6,6,6,0,6,6,6,6,6,6,0,6,6,5,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,6,6,6,6,0,6,6,6,6,6,5,0,6,6,5,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,6,6,6,6,6,0,6,6,6,6,7,7,0,7,7,4,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,11,6,5,6,6,0,6,6,6,6,6,6,0,6,6,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,7,6,6,6,6,0,5,5,6,5,6,6,0,6,6,6,6,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,6,5,6,6,6,0,6,6,6,6,6,5,0,6,6,6,6,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,8,6,5,6,5,0,5,6,6,6,6,6,0,6,6,5,6,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,5,5,5,5,6,0,5,6,6,5,5,6,0,6,6,6,6,6,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,11,5,5,5,5,0,5,5,4,5,5,5,0,5,5,5,5,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,8,5,4,5,5,0,5,4,4,5,5,5,0,5,5,5,5,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,8,5,5,4,4,0,4,5,5,5,5,5,0,5,5,5,5,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,4,4,4,4,4,0,5,5,5,5,5,5,0,5,5,5,5,5,0,5,0,0,0,5,0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,9,4,3,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,0,4,0,0,0,4,0,0,0,0,4,4,0,4,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,9,4,3,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,0,4,0,0,0,4,0,0,0,0,4,4,0,4,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,10,4,4,3,4,0,4,4,3,4,4,4,0,4,4,4,4,4,0,4,0,0,0,4,0,0,0,0,4,4,0,4,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,9,4,4,4,4,0,4,4,4,4,3,4,0,4,4,4,4,4,0,4,0,0,0,4,0,0,0,0,4,4,0,4,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,6,4,4,4,3,0,4,4,3,4,4,4,0,4,4,4,4,4,0,4,0,0,0,4,0,0,0,0,4,4,0,4,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
40,5,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,3,4,0,4,0,0,0,4,0,0,0,0,4,4,0,4,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3,3,3,3,3,0,3,3,3,3,4,4,0,4,4,3,4,3,0,4,0,0,0,4,0,0,0,0,4,4,0,4,4,3,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,4,0,0,0,0
42,16,3,3,3,3,0,3,3,3,3,3,3,0,3,3,3,3,3,0,3,0,0,0,3,0,0,0,0,3,3,0,3,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,3,3,0,0,0
43,7,3,3,3,3,0,3,3,3,3,3,3,0,3,3,3,3,3,0,3,0,0,0,3,0,0,0,0,3,3,0,3,3,3,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,3,3,3,3,3,0,3
44,5,3,3,3,3,0,3,3,3,2,3,3,0,3,3,3,3,3,0,3,0,0,0,3,0,0,0,0,3,3,0,3,3,3,0,0,0,3,3,0,0,0,3,3,0,0,0,0,0,0,3,3,3,3,3,0,3
45,2,3,3,3,3,0,3,3,3,3,3,3,0,3,3,3,3,3,0,3,0,0,0,3,0,0,0,0,3,3,0,3,3,3,3,0,0,2,3,0,0,0,3,3,0,0,0,0,0,0,3,3,3,3,3,0,3
46,2,2,0,3,3,0,3,3,3,3,3,3,0,3,3,3,3,3,0,3,0,0,0,3,0,0,0,0,3,3,3,3,3,3,3,0,0,3,3,0,0,0,3,3,0,0,0,0,0,0,3,3,3,3,3,0,3
47,2,3,0,3,3,0,3,3,3,3,3,3,0,2,3,3,3,3,0,3,0,0,0,3,0,0,0,0,3,3,3,3,3,3,3,0,0,3,3,0,0,0,3,3,0,0,0,0,0,0,3,3,3,3,3,0,3
48,2,2,0,3,1,0,3,3,3,3,3,3,0,3,3,3,2,3,0,3,0,0,0,3,0,0,0,0,3,3,3,3,3,3,3,0,3,3,3,0,0,0,3,3,0,0,0,0,0,0,3,3,3,3,3,0,3
49,2,1,0,2,2,0,3,3,3,3,3,3,0,3,3,3,3,3,0,3,0,0,0,3,0,0,0,0,3,3,3,3,3,3,3,0,3,3,3,0,0,0,3,3,0,0,0,0,0,0,3,3,3,3,3,0,3
50,2,2,0,2,2,0,3,3,3,3,3,3,0,3,3,3,3,3,0,3,0,0,0,3,0,0,0,0,3,3,3,3,3,3,3,0,3,3,2,0,0,0,3,3,0,0,0,0,0,0,3,3,3,3,3,0,3
