x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,Target
104.300003051758,119,0,107,166,157,521,938,168,89,92,36,637,154
121.599998474121,132,0,96,87,83,564,953,43,92,83,32,513,227
34.2000007629395,135,0,109,69,71,540,965,6,4,80,22,564,139
92.9000015258789,135,1,104,123,115,537,978,31,170,89,34,631,165
66.4000015258789,135,0,117,62,61,595,986,22,46,77,27,529,190
68.1999969482422,121,0,110,118,115,547,964,25,44,84,29,689,126
96.8000030517578,131,0,116,78,73,574,1038,7,36,142,42,540,176
163.5,143,0,113,103,95,583,1012,13,102,96,36,557,194
82.3000030517578,162,1,99,75,70,522,996,40,208,73,27,496,224
37.2999992370606,140,0,93,55,54,535,1045,6,20,135,40,453,200
79.0999984741211,151,1,91,58,56,510,950,33,301,108,41,394,261
85.5999984741211,157,1,90,65,62,553,955,39,286,81,28,421,239
56.5999984741211,133,0,104,51,47,599,1024,7,40,99,27,425,225
155.5,131,1,109,115,109,542,969,50,179,79,35,472,206
103.0,136,0,121,95,96,574,1012,29,36,111,37,622,162
88.0,148,0,122,72,66,601,998,9,19,84,20,590,144
199.300003051758,131,0,121,160,143,631,1071,3,77,102,41,674,152
122.5,125,0,108,113,105,567,985,78,94,130,58,626,166
43.9000015258789,157,1,89,47,44,512,962,22,423,97,34,288,276
82.5999984741211,149,1,88,61,54,515,953,36,165,86,35,395,251
196.899993896484,136,0,121,149,141,577,994,157,80,102,39,673,167
51.0999984741211,128,0,113,67,60,624,972,28,10,77,25,507,206
92.3000030517578,126,0,118,97,97,542,990,18,21,102,35,589,166
74.1999969482422,126,0,108,74,67,602,984,34,12,102,33,557,195
121.599998474121,152,0,112,82,76,571,1018,10,79,103,28,537,215
52.2999992370606,130,0,116,63,57,641,984,14,26,70,21,486,196
115.099998474121,145,1,104,82,74,560,981,96,126,88,31,488,228
53.9000015258789,143,0,110,66,63,537,977,10,6,114,35,487,166
45.5,139,1,88,46,41,480,968,19,49,135,53,457,249
123.400001525879,141,0,121,109,101,591,985,18,30,91,20,578,174
107.199996948242,147,1,104,63,64,560,972,23,95,76,24,462,233
127.199996948242,150,0,100,109,98,531,964,9,24,87,38,559,153
