,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,Target
0,43.0,30.0,74.0,10.899999618530272,3.2300000190734863,12.100000381469728,83.9000015258789,4679.0,3.5,49.20000076293945,11.300000190734863,21.0,32.0,62.0,56.0,1
1,35.0,40.0,64.0,9.600000381469728,3.0199999809265137,12.199999809265137,82.5,3626.0,5.699999809265137,54.29999923706055,10.100000381469728,20.0,7.0,20.0,72.0,1
2,35.0,31.0,81.0,9.199999809265137,3.0999999046325684,12.0,78.30000305175781,3262.0,12.600000381469728,48.59999847412109,13.899999618530272,7.0,4.0,4.0,55.0,1
3,31.0,26.0,73.0,9.300000190734863,3.220000028610229,10.699999809265137,81.30000305175781,3249.0,9.5,43.900001525878906,13.600000381469728,11.0,7.0,25.0,59.0,1
4,50.0,42.0,82.0,7.300000190734863,3.490000009536743,10.399999618530272,72.5,3497.0,36.70000076293945,43.29999923706055,26.39999961853028,15.0,18.0,34.0,59.0,1
5,35.0,46.0,85.0,7.099999904632568,3.220000028610229,11.800000190734863,79.9000015258789,1441.0,14.800000190734863,51.20000076293945,16.100000381469727,1.0,1.0,1.0,54.0,1
6,44.0,29.0,74.0,10.399999618530272,3.2100000381469727,9.800000190734863,81.5999984741211,4260.0,0.800000011920929,39.400001525878906,12.399999618530272,6.0,6.0,33.0,54.0,1
7,10.0,55.0,70.0,7.300000190734863,3.109999895095825,12.100000381469728,88.9000015258789,3033.0,5.900000095367432,51.0,14.0,144.0,66.0,20.0,61.0,1
8,30.0,35.0,71.0,8.300000190734863,3.369999885559082,9.899999618530272,77.4000015258789,4474.0,13.100000381469728,42.59999847412109,17.700000762939453,38.0,37.0,193.0,57.0,1
9,38.0,28.0,72.0,8.899999618530273,3.4800000190734863,10.699999809265137,79.80000305175781,3451.0,11.699999809265137,37.5,13.0,14.0,13.0,39.0,58.0,1
10,30.0,20.0,69.0,8.800000190734863,3.259999990463257,11.100000381469728,85.4000015258789,2934.0,5.800000190734863,44.0,9.399999618530272,33.0,23.0,125.0,64.0,1
11,45.0,30.0,73.0,9.300000190734863,3.289999961853028,10.600000381469728,86.0,2140.0,5.300000190734863,40.400001525878906,10.5,6.0,4.0,4.0,56.0,1
12,44.0,39.0,78.0,8.199999809265137,3.319999933242798,11.0,79.9000015258789,3768.0,28.600000381469727,49.5,17.5,12.0,9.0,48.0,53.0,1
