x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,Target
34,32,79,9.30000019073486,3.23000001907349,9.69999980926514,76.8000030517578,5160,17.2000007629395,45.0999984741211,15.3000001907349,31,15,68,57,953.559997558594
35,40,64,9.60000038146973,3.01999998092651,12.1999998092651,82.5,3626,5.69999980926514,54.2999992370606,10.1000003814697,20,7,20,72,899.263977050781
31,27,74,7.19999980926514,3.44000005722046,10.8000001907349,87.0,4834,15.8000001907349,43.5,13.6000003814697,52,35,124,59,959.221008300781
31,26,73,9.30000019073486,3.22000002861023,10.6999998092651,81.3000030517578,3249,9.5,43.9000015258789,13.6000003814697,11,7,25,59,972.463989257813
42,29,72,10.6999998092651,3.19000005722046,10.1000003814697,79.5,3508,2.20000004768372,38.7999992370606,15.6999998092651,6,4,18,56,938.5
38,28,72,8.89999961853027,3.48000001907349,10.6999998092651,79.8000030517578,3451,11.6999998092651,37.5,13.0,14,13,39,58,954.442016601563
45,33,76,7.69999980926514,3.39000010490418,11.3000001907349,82.1999969482422,3152,12.1000003814697,47.2999992370606,10.8999996185303,14,11,42,56,1003.50201416016
44,29,74,10.3999996185303,3.21000003814697,9.80000019073486,81.5999984741211,4260,0.800000011920929,39.4000015258789,12.3999996185303,6,6,33,54,962.35400390625
35,28,71,8.80000019073486,3.28999996185303,11.1000003814697,86.3000030517578,3042,14.6999998092651,44.5999984741211,11.3999996185303,31,21,64,60,985.950012207031
42,40,77,6.09999990463257,3.45000004768372,10.3999996185303,71.8000030517578,2269,22.7000007629395,41.4000015258789,19.5,8,3,5,53,971.122009277344
45,28,74,10.6000003814697,3.21000003814697,11.1000003814697,82.5999984741211,1883,3.40000009536743,41.9000015258789,12.3000001907349,5,4,20,56,904.155029296875
35,23,72,11.1000003814697,3.14000010490418,11.0,78.8000030517578,4281,3.5,50.7000007629395,14.3999996185303,8,10,39,57,997.875
35,31,81,9.19999980926514,3.09999990463257,12.0,78.3000030517578,3262,12.6000003814697,48.5999984741211,13.8999996185303,7,4,4,55,919.72900390625
40,34,77,9.19999980926514,3.21000003814697,10.1999998092651,77.0,4101,13.0,45.7000007629395,15.1000003814697,26,26,146,57,970.466979980469
33,26,76,8.60000038146973,3.20000004768372,10.8999996185303,83.4000015258789,6122,16.2999992370605,44.9000015258789,10.6999998092651,88,63,278,58,1024.88500976563
44,39,78,8.19999980926514,3.3199999332428,11.0,79.9000015258789,3768,28.6000003814697,49.5,17.5,12,9,48,53,1025.501953125
37,31,75,8.0,3.25999999046326,11.8999996185303,78.4000015258789,4259,13.1000003814697,49.5999984741211,13.8999996185303,23,9,15,58,958.838989257813
38,24,72,9.80000019073486,3.33999991416931,11.3999996185303,78.0,4923,3.79999995231628,50.5,11.1000003814697,8,5,25,61,950.671997070313
43,35,77,7.59999990463257,3.44000005722046,9.60000038146973,84.5999984741211,6441,24.3999996185303,43.7000007629395,14.3000001907349,43,38,206,55,1071.28894042969
36,24,70,9.0,3.30999994277954,10.5,83.1999969482422,6582,8.10000038146973,42.5,12.6000003814697,18,12,37,61,1001.90197753906
30,20,69,8.80000019073486,3.25999999046326,11.1000003814697,85.4000015258789,2934,5.80000019073486,44.0,9.39999961853027,33,23,125,64,929.150024414063
52,42,79,7.69999980926514,3.39000010490418,9.60000038146973,69.1999969482422,2302,22.2000007629395,41.2999992370606,24.2000007629395,18,8,27,56,1017.61297607422
40,23,71,11.3000001907349,3.27999997138977,10.3000001907349,73.8000030517578,1671,2.5,47.4000015258789,13.5,5,2,11,60,912.202026367188
50,42,82,7.30000019073486,3.49000000953674,10.3999996185303,72.5,3497,36.7000007629395,43.2999992370606,26.3999996185303,15,18,34,59,1006.48999023438
60,67,82,10.0,2.98000001907349,11.5,88.5999984741211,4657,13.5,47.2999992370606,22.3999996185303,3,1,1,60,861.439025878906
13,49,68,7.0,3.35999989509583,12.1999998092651,90.6999969482422,2702,3.0,51.9000015258789,9.69999980926514,105,32,3,71,790.732971191406
39,29,75,8.69999980926514,3.23000001907349,11.3999996185303,78.5999984741211,4412,15.6000003814697,46.5999984741211,13.1999998092651,13,7,33,60,968.664978027344
47,45,79,6.5,3.41000008583069,11.1000003814697,77.5,3125,27.1000003814697,50.2000007629395,20.6000003814697,18,8,24,56,982.291015625
43,27,72,9.0,3.25,11.5,87.0999984741211,2909,7.19999980926514,51.5999984741211,9.5,7,3,10,56,887.466003417969
37,38,67,11.3000001907349,2.99000000953674,12.0,81.5,3387,3.59999990463257,50.2999992370606,13.5,56,21,44,73,893.991027832031
53,45,80,7.69999980926514,3.45000004768372,10.1999998092651,66.8000030517578,3325,38.5,43.0999984741211,25.5,30,32,72,54,1030.38000488281
45,30,73,9.30000019073486,3.28999996185303,10.6000003814697,86.0,2140,5.30000019073486,40.4000015258789,10.5,6,4,4,56,899.528991699219
10,55,70,7.30000019073486,3.10999989509583,12.1000003814697,88.9000015258789,3033,5.90000009536743,51.0,14.0,144,66,20,61,839.708984375
46,55,84,5.59999990463257,3.34999990463257,11.3999996185303,79.6999969482422,2647,21.0,46.9000015258789,17.8999996185303,6,5,1,59,952.528991699219
30,35,71,8.30000019073486,3.36999988555908,9.89999961853027,77.4000015258789,4474,13.1000003814697,42.5999984741211,17.7000007629395,38,37,193,57,989.265014648438
15,30,73,8.19999980926514,3.15000009536743,12.1999998092651,84.1999969482422,4824,4.69999980926514,53.0999984741211,12.6999998092651,17,8,28,38,871.765991210938
45,24,70,11.8000001907349,3.25,11.1000003814697,79.8000030517578,3678,1.0,44.7999992370606,14.0,7,3,8,56,895.695983886719
41,33,77,11.1999998092651,3.07999992370605,9.60000038146973,79.9000015258789,4843,2.70000004768372,38.5999984741211,14.1000003814697,11,11,89,54,946.184997558594
18,48,63,9.19999980926514,2.92000007629395,12.1999998092651,87.6999969482422,4253,13.6999998092651,51.2000007629395,12.0,311,171,86,71,911.700988769531
42,33,76,9.69999980926514,3.22000002861023,9.0,76.1999969482422,9699,4.80000019073486,42.2000007629395,14.5,8,8,49,54,911.817016601563
42,33,77,9.69999980926514,3.02999997138977,10.6999998092651,83.5,7462,11.3000001907349,48.7000007629395,12.3999996185303,41,26,108,58,994.648010253906
11,53,68,9.19999980926514,2.99000000953674,12.1000003814697,90.5999984741211,4700,7.80000019073486,48.9000015258789,12.3000001907349,648,319,130,47,861.8330078125
