,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54
12,13,11,11,11,11,0,11,11,0,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,11,11,11,10,0,11,11,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,11,10,10,11,11,0,12,12,0,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,13,11,11,10,11,0,11,10,0,11,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,11,10,10,9,10,0,10,10,0,10,0,0,0,0,0,11,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,11,9,9,9,9,0,9,8,0,9,0,0,0,0,1,9,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,8,9,7,8,8,0,8,7,0,8,0,0,0,0,9,9,9,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,7,7,5,8,8,0,7,7,2,8,0,0,0,0,8,8,8,8,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6,6,5,7,6,0,7,6,7,7,0,0,0,0,7,7,6,7,0,1,7,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6,4,6,6,6,0,6,6,6,6,0,0,0,0,6,6,6,6,0,6,6,0,0,1,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,5,5,3,5,5,0,6,5,6,5,0,0,0,0,6,6,6,6,0,6,6,0,0,6,0,6,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,11,5,4,5,5,0,5,5,5,4,0,0,0,0,5,5,5,5,0,5,5,0,0,5,1,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,6,5,3,5,5,0,5,5,5,5,0,0,0,0,5,5,5,5,0,5,5,0,0,5,5,5,5,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4,4,4,4,4,0,5,5,5,5,0,0,0,0,5,5,5,5,0,5,5,0,0,5,7,5,5,0,0,0,0,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,3,4,1,4,4,0,4,5,3,5,0,0,0,0,5,5,5,4,0,5,5,0,0,6,6,5,5,0,1,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
27,1,1,4,4,4,0,4,4,4,4,0,0,0,0,4,4,5,5,0,4,5,0,0,7,5,5,6,0,5,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
28,11,4,4,4,4,0,3,4,4,4,0,0,0,0,4,4,4,4,0,4,4,0,0,5,4,5,4,0,4,0,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
29,13,4,4,4,4,0,3,4,4,4,0,0,0,0,4,4,4,4,0,4,4,0,0,4,4,4,4,0,4,0,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
30,13,4,3,4,4,0,4,4,4,4,0,0,0,0,4,4,4,4,0,4,4,0,0,4,4,4,4,0,4,0,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
31,13,4,3,4,4,0,4,4,4,4,0,0,0,0,4,4,4,4,0,4,4,0,0,4,4,4,4,0,4,0,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
32,12,4,3,3,4,0,4,4,4,4,0,0,0,0,4,4,4,4,0,4,4,0,0,5,4,5,4,0,4,0,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
33,13,4,3,4,4,0,3,4,4,4,0,0,0,0,4,4,4,4,0,4,4,0,0,4,4,4,4,0,4,0,0,0,4,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0
34,3,3,4,4,3,0,4,4,4,4,0,0,0,0,7,4,4,5,0,4,4,0,0,4,5,5,4,0,5,0,0,0,4,0,0,0,0,0,0,5,0,6,0,0,1,0,0,0,0,0,0,0,0,0
35,6,4,3,4,4,0,3,4,4,4,0,0,0,0,4,4,4,4,0,4,4,0,0,4,4,4,4,0,4,0,0,0,4,0,0,0,0,0,0,4,0,4,0,0,5,1,0,0,2,0,0,0,0,0
36,3,3,3,4,2,0,3,4,4,4,0,0,0,0,4,4,4,4,0,4,4,0,0,4,4,4,4,0,4,0,0,0,4,0,0,0,0,0,0,4,0,4,0,1,4,4,1,0,4,0,0,0,0,0
37,3,3,2,3,3,0,3,3,3,3,0,0,0,0,3,3,3,4,0,4,4,0,0,4,4,4,4,0,4,0,0,0,4,0,0,0,0,0,0,4,0,4,0,4,4,5,4,0,4,0,0,0,0,0
38,3,2,3,3,3,0,3,3,2,3,0,0,0,0,3,3,4,4,0,4,4,0,0,4,4,4,4,0,4,0,0,0,4,0,0,0,0,0,0,4,0,4,0,4,4,4,5,0,4,0,0,0,0,0
39,3,3,2,2,3,0,2,3,3,3,0,0,0,0,3,3,4,4,0,4,4,0,0,4,4,4,4,0,4,0,0,0,4,0,0,0,0,0,0,4,0,4,0,4,4,4,5,0,5,0,0,0,0,0
40,3,3,3,3,2,0,3,3,3,3,0,0,0,0,3,3,4,4,0,4,4,0,0,4,4,4,3,0,4,0,0,0,4,0,0,0,0,0,0,4,0,4,0,4,4,4,4,1,4,0,0,0,0,0
41,2,3,2,2,3,0,3,3,3,3,0,0,0,0,3,3,4,4,0,4,4,0,0,3,4,4,4,0,4,0,0,0,4,0,0,0,0,0,0,4,0,3,0,4,4,4,4,4,4,0,0,0,0,0
42,3,3,3,2,2,0,3,2,3,3,0,0,0,0,3,3,3,3,0,4,4,0,0,4,4,4,4,0,4,0,0,0,3,0,0,0,0,0,0,4,0,4,0,4,4,4,4,5,4,0,0,0,0,0
43,1,3,1,2,3,0,3,3,3,3,0,0,0,0,3,3,3,3,0,4,4,0,0,4,4,4,3,0,4,0,0,0,4,0,0,0,0,0,0,4,0,4,0,4,4,4,5,5,4,1,0,0,0,0
44,12,3,3,3,3,0,2,3,3,3,0,0,0,0,3,3,3,3,0,3,3,0,0,3,3,3,3,0,3,0,0,0,3,0,0,0,0,0,0,3,0,3,0,3,3,3,3,3,5,3,0,0,0,0
45,14,3,3,3,2,0,3,3,3,1,0,0,0,0,3,3,3,3,0,3,3,0,0,3,3,3,3,0,3,0,0,0,3,0,0,0,0,0,0,3,0,3,0,3,3,3,3,3,4,3,1,0,0,0
46,11,3,3,3,2,0,3,2,3,3,0,0,0,0,3,3,3,3,0,3,3,0,0,3,3,3,3,0,3,0,0,0,3,0,0,0,0,0,0,3,0,3,0,3,3,3,3,3,3,3,4,0,0,0
47,11,3,3,2,3,0,2,3,3,2,0,0,0,0,3,3,3,3,0,3,3,0,0,3,3,3,3,0,3,0,0,0,3,0,0,0,0,0,0,3,0,3,0,3,3,3,3,3,3,3,3,1,1,0
48,5,3,3,1,3,0,3,3,3,3,0,0,0,0,3,3,3,3,0,3,3,0,0,3,3,3,3,0,2,0,0,0,3,0,0,0,0,0,0,3,0,3,0,3,3,3,3,3,3,3,3,3,4,1
49,2,3,3,3,3,0,3,3,3,3,0,0,0,0,3,3,3,3,0,3,3,0,0,3,3,3,3,0,3,0,0,0,3,0,0,0,0,0,0,2,0,3,0,2,3,3,3,3,3,3,3,3,3,4
50,2,3,3,2,3,0,3,3,3,3,0,0,0,0,3,2,3,3,0,3,3,0,0,3,3,3,3,0,3,0,0,0,3,0,0,0,0,0,0,3,0,3,0,3,3,3,3,3,3,3,3,3,4,3
