,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28
0,0,0,0,0,1,9,6,9,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,12,9,10,3,10,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0
2,0,0,0,0,0,16,9,5,3,3,2,0,0,0,4,0,1,3,0,0,1,0,0,0,3,0,0,0
3,0,0,0,0,0,12,8,5,3,2,5,0,0,0,3,0,2,5,0,0,2,0,0,0,3,0,0,0
4,0,0,0,0,0,5,5,5,5,4,5,0,0,0,5,0,5,4,0,0,2,0,0,0,4,1,0,0
5,0,0,0,0,0,7,4,4,4,3,4,0,0,1,5,0,3,4,0,0,5,0,0,0,3,2,1,0
6,0,0,0,0,0,4,4,5,5,4,5,0,0,5,3,0,2,3,0,0,4,0,0,0,2,2,2,0
7,0,0,0,0,0,5,4,3,2,2,3,0,0,4,4,0,4,4,0,0,4,0,0,0,4,4,3,0
8,0,0,0,0,0,3,4,3,2,4,4,0,0,3,4,0,4,4,0,0,4,0,0,0,3,4,4,0
9,0,0,0,0,0,2,2,3,3,3,8,0,0,4,4,0,4,4,0,0,4,0,0,0,3,4,2,0
10,0,0,0,0,0,6,5,4,0,3,4,0,1,4,3,0,4,3,0,0,3,0,0,0,4,3,3,0
11,0,0,0,0,0,3,3,2,0,4,4,0,7,4,3,0,3,4,0,0,4,0,0,0,4,2,3,0
12,0,0,0,0,0,4,3,1,0,3,4,0,5,4,4,0,4,4,0,0,4,0,0,0,4,3,3,0
13,0,0,0,0,0,4,4,4,0,4,4,1,5,4,3,0,4,3,0,0,3,0,0,0,1,4,2,0
14,0,0,0,0,0,3,3,3,0,6,3,5,3,2,3,0,4,3,0,0,3,0,0,0,2,3,3,1
15,0,0,0,0,0,3,3,3,0,5,3,3,4,4,3,0,3,2,0,0,3,0,0,0,3,3,3,2
16,0,0,0,0,0,5,3,3,0,3,3,3,3,3,3,1,3,3,0,0,3,0,0,0,3,3,3,2
17,0,0,0,0,0,3,3,3,0,3,3,2,3,2,2,6,3,2,0,0,3,0,0,1,2,3,3,3
18,0,0,0,0,0,2,3,2,0,3,3,3,3,2,3,3,3,3,0,0,3,0,0,3,3,3,3,2
19,0,0,0,0,0,2,3,3,0,6,2,3,2,2,3,3,3,1,0,0,3,0,0,3,3,3,2,3
20,0,0,0,0,0,2,2,2,0,3,2,3,3,3,3,4,3,3,0,0,1,0,0,3,4,3,3,3
21,0,0,0,0,0,1,3,2,0,2,3,3,3,3,3,3,3,3,0,0,3,0,0,3,3,3,3,3
22,0,0,0,0,0,2,3,1,0,3,2,3,3,2,2,3,4,3,0,0,1,0,0,4,4,3,4,3
23,0,0,0,0,0,2,3,2,0,2,3,3,3,3,3,3,3,3,0,0,3,0,0,3,3,3,3,2
24,0,0,0,0,0,1,3,2,0,2,2,3,3,3,3,3,3,3,0,0,3,0,0,3,4,3,3,3
25,0,0,0,0,0,0,3,3,0,3,3,3,3,3,2,3,2,3,0,1,3,0,0,2,4,3,3,3
26,0,0,0,0,0,0,2,2,0,3,3,3,3,4,3,2,3,3,0,3,2,0,0,3,3,3,3,2
27,0,0,0,0,0,0,3,3,0,6,1,2,3,3,3,3,3,3,0,2,3,0,0,2,3,3,3,1
28,0,0,0,0,0,0,2,2,0,3,3,2,2,2,3,2,3,3,0,2,3,0,0,3,3,5,3,4
29,0,0,0,0,0,0,3,3,0,5,1,1,3,3,3,2,3,3,0,3,3,0,0,3,3,3,2,3
30,0,0,0,0,0,0,2,3,0,3,3,3,3,3,2,2,3,3,0,3,3,0,0,2,3,3,3,3
31,0,0,0,0,0,0,3,3,0,4,2,2,3,3,3,2,3,3,0,3,3,0,0,2,3,3,3,2
