,x1,x2,x3,x4,x5,x6,x7,Target
0,-0.0197344,-0.024931,-0.0234609,-0.0135465,-0.0486461,-0.0216144,-0.0259506,-0.0300804
1,-0.00688296,0.037813,0.00491313,0.0332887,-0.00424505,0.0175559,0.0234053,0.0612849
2,0.00643559,0.00292464,0.011824,-0.0233697,0.0176671,0.00641606,-0.00153576,-0.0013283
3,0.0056248,-8.15511E-4,0.00141521,0.0185326,0.00486581,9.16E-5,0.00617626,0.00406403
4,0.00936138,0.0188295,0.0174379,-0.00205425,0.015573,0.0159489,0.0108307,0.0106069
5,0.0217835,0.0231777,0.026111,0.00345517,0.0147321,0.0251948,0.0157492,0.0221251
6,0.00499459,-0.00510667,0.00497604,-0.00166804,0.0109329,-5.48291E-4,-0.00118012,0.0117802
7,0.00131629,-0.00105462,-5.90212E-4,-4.38122E-4,-0.00159716,0.00221193,0.00213478,0.00683658
8,-0.0167877,-0.00149993,-0.0115478,0.0,-0.00661218,-0.00606873,0.0041647,0.00875744
9,-0.0437323,-0.0415944,-0.0252126,0.00192572,-0.0298212,-0.0331451,-0.00835785,-0.0435617
10,0.0255144,-1.17E-5,-0.0023268,-0.0112442,0.017663,5.55776E-4,0.0034443,0.0179666
11,-0.0154266,-0.0332413,-0.0265809,-0.0314457,-0.00859965,-0.033875,-0.014725,-0.0769674
12,-9.505E-4,0.0136987,0.0128303,0.0,0.00133309,0.0133644,0.0164448,0.040498
13,-0.00324575,-0.0182853,-0.0228547,-0.0205711,0.00491112,-0.0224017,-0.00681967,-0.00767762
14,0.00849859,-0.00346852,-0.00430609,-0.00642302,0.00577896,-0.0014659,0.00811716,0.0125073
15,0.0104489,0.0168891,0.0185311,0.00407567,-0.0130955,0.0150163,-0.00377093,0.0193541
16,0.00176506,1.58395E-4,0.001143,0.0042358,-0.0113075,0.00230319,-0.00517916,-0.00359449
17,0.00236661,0.00674202,0.00419852,-0.00794087,-0.00614607,0.00495771,-0.0014647,-3.29157E-4
18,0.00581294,-0.00226626,-0.00399447,-0.00214224,-0.00409377,-0.00555832,-0.00367922,0.00270525
19,0.00367129,-0.00550178,-0.00146006,0.0214709,0.0,-0.00542631,0.00599217,0.00703944
20,-0.00467329,-0.00398236,0.00669856,0.00131664,0.00316306,0.00356058,5.13917E-4,0.0260566
21,0.0230226,0.0242508,0.0146023,0.00715105,0.0219162,0.0181311,0.0163986,0.0277085
22,-0.0118787,0.00166443,-0.00315189,-0.0139539,-0.0116982,-0.0026169,-0.0113773,-0.0173366
23,0.0265313,0.0172412,0.030613,-0.00221505,0.0411142,0.0197327,0.0229151,0.0414637
24,-0.0027897,-3.19582E-4,-0.00642316,-0.00170793,-0.0238955,-0.00302406,-0.0142486,-0.00325487
25,8.26575E-4,-0.00640321,-0.0057202,0.0121858,-0.00851941,-0.00511961,0.00310674,-6.64324E-4
26,-0.0152785,-0.0098414,-0.0018984,0.0188179,-0.0169817,-0.00655222,-0.00322725,0.00504316
27,0.0210294,0.00341124,-8.52301E-4,-0.0242038,0.0101881,1.07111E-4,-0.00727657,-0.0139764
28,6.35E-5,0.00216077,-0.0105941,-0.0165051,0.00834398,-0.00616591,-0.00329498,-0.0153017
29,0.0190529,0.00671664,0.00345923,-0.0129714,0.0140297,0.00645004,0.00236358,0.00452163
30,-0.00251786,0.00241179,0.0117162,0.010192,-0.00230326,0.00625536,0.0071952,0.0142071
31,0.00297741,0.00423437,0.00207362,0.0143874,0.00168798,0.0035899,0.0092794,0.0153752
32,-9.50817E-4,-0.00276434,-0.00679031,-0.014634,-0.00435106,-0.0033031,-0.00334226,-0.0121011
33,-0.00942544,-0.0162727,-0.00713978,0.0,-0.00508154,-0.00989341,-0.0037292,-0.0043387
34,3.5387E-4,-0.0236406,-0.0257549,-0.0310677,-0.0122757,-0.0264484,-0.0275903,-0.0573189
35,0.0430347,0.05163,0.0503227,0.0158996,0.0402473,0.0670425,0.0253176,0.100621
36,0.0291995,0.0302285,0.0253503,8.02976E-4,0.0484072,0.0270375,0.0274352,0.0360415
37,-0.0159057,0.0247572,0.0171552,-4.41044E-4,-0.00136104,0.0209026,-0.00233116,-8.12008E-4
38,-0.0108822,-0.0190333,-0.00781482,0.00679955,-0.0118607,-0.0111147,-0.00205645,-0.0155158
39,-0.00149831,0.0036825,0.00454609,-0.00414712,0.00955747,-8.09664E-4,0.00213008,0.00855953
40,0.0,-0.0178336,-0.00417079,-0.0234115,-0.0408993,-0.015088,-0.0241072,-0.0296614
41,-0.00212323,-5.47957E-4,-0.00433248,0.0110472,6.88402E-4,-0.00213749,0.0031282,-0.00573413
42,0.00580479,0.00888523,0.0042965,0.011616,-0.00313608,0.00599446,0.0117534,0.0270467
43,0.0108663,-7.97661E-4,-0.00347479,0.0481481,0.00492178,-0.00264181,0.0063445,0.0109487
44,-0.0146188,-0.012635,-0.0151676,-0.0134224,-0.0125976,-0.0153702,-0.00973058,-0.0139762
45,-0.0130641,0.0117268,0.00312258,-0.0032931,0.00771764,0.00702835,0.00984727,0.0308887
46,0.0373471,0.0301072,0.0147173,0.0366723,0.0302516,0.0203502,0.0276959,0.0515575
47,-0.00548943,-0.00660182,-0.00573252,0.00319994,-8.04338E-4,-0.00594101,0.0115408,6.67055E-4
48,-0.00140197,0.0014366,0.0,3.60093E-4,0.00578571,0.00418611,-1.90542E-4,0.00581664
49,-0.0114786,-0.0487468,-0.032706,-0.0188692,-0.0258794,-0.037924,-0.0272944,-0.0497757
50,-0.00129911,9.58129E-4,0.00434194,-0.00109016,-0.00307211,-1.84585E-4,0.00295121,0.0103565
51,0.0184515,0.0281591,0.0196311,-0.0140835,0.0156777,0.0233488,0.00681287,0.0146606
52,0.00277791,-0.00939574,-0.00434427,-0.0157001,-0.00107387,-0.00415601,-0.00647366,0.00630721
53,0.0299366,0.0238732,0.0223783,-0.0247318,0.0489,0.0213451,0.027348,0.00829457
54,-0.00806742,-0.0124954,-0.00661951,-0.00246683,0.00221884,-0.00841922,0.00492546,0.00824221
55,0.0152256,0.0176062,0.0159514,-4.21067E-4,0.0222464,0.0134112,0.0161591,0.0503394
56,0.0135239,0.0241328,0.0196294,-0.0101698,0.0,0.0204487,0.00798496,0.0139444
57,-0.008568,-0.0171803,-0.00876504,0.00759102,-0.00721288,-0.00832487,-0.00142689,-0.00714228
58,-0.0036697,-0.0115843,-0.00307497,-0.0197719,-0.00314456,-0.00987618,-0.00249624,-0.00996114
59,-0.00595934,0.019607,0.0114298,-0.0104137,-0.00611345,0.0159015,0.0017334,0.0150062
60,-1.75654E-4,-2.4674E-4,0.00123143,0.0207081,-0.00395861,0.00106467,0.00975627,0.0224109
61,-5.34409E-4,0.00540159,0.00278555,0.00734345,-0.00302897,0.00275722,-0.00471012,0.00943432
62,0.00163087,0.00559637,0.00857103,-0.0250594,0.0139593,0.00423976,0.0142536,0.0144326
63,0.00263381,-0.00477658,0.00172199,-0.00703941,0.00772294,-3.6404E-4,4.12402E-4,2.67365E-4
64,0.00391515,0.00289275,0.00214684,0.0281518,-0.00534331,-0.00112841,0.00416555,-0.00437412
65,-0.00836725,-0.00805518,-0.00902389,0.0122777,-0.00505884,-0.00663938,0.00419193,0.0186135
66,0.0323472,0.0306339,0.0307061,0.0122178,0.0311109,0.0298569,0.0171842,0.0149933
67,0.042572,0.00501119,-0.00772887,-0.0205613,0.0335321,-0.00333856,-0.00509224,0.00152943
68,0.0150953,0.0135667,0.0169206,-0.00249425,0.0162778,0.0145108,0.00677113,0.00660358
69,-0.0138345,-0.0175578,-0.0211285,0.00384244,-0.0360686,-0.0191999,-0.0130267,-0.0203928
70,-0.00386425,0.0121489,0.00915655,0.0240203,0.00604951,0.00995611,0.0173269,0.00819359
71,0.00198134,2.91641E-4,-0.00650105,0.00274068,-0.00895974,4.50926E-4,-0.00663054,-0.0104236
72,0.0173937,0.0241755,0.0195968,-0.00162389,0.0237693,0.0198696,0.0164266,0.026778
73,0.00596407,-0.00517206,-0.00205682,-0.0115348,0.0152507,-0.00339961,1.05052E-4,0.00160952
74,-0.0103044,-0.0167645,-0.0166326,-0.00267185,-0.0114945,-0.0152145,-0.00600692,-0.00866933
75,-0.00272628,-8.35E-5,0.00707485,0.0176409,-0.0172301,0.00161782,0.00363132,0.0142386
76,0.00936867,0.00711645,0.0179248,0.027223,0.00302935,0.0122328,0.0075051,0.0153356
