,x1,x2,x3,x4,x5,x6,x7,Target
0,-6.4E-5,-0.00116087,-8.98172E-4,0.0062745,0.00134322,-0.00235552,0.00441103,0.00765377
1,0.0148127,0.017563,0.0134897,0.0,0.0243649,0.010219,0.00559022,-4.48648E-4
2,0.00241066,0.00541647,0.00482822,-0.0157198,-0.00618626,0.00839604,-0.00685352,-5.10833E-4
3,-0.0114757,-2.04728E-4,-0.00332924,0.0186609,-0.00891802,0.002504,0.00816049,0.0190548
4,0.00829138,0.00338313,-0.00459343,-0.013335,0.0043998,-7.47E-5,-0.00726345,0.0213625
5,-0.0353154,-0.0196734,-0.00992282,-0.00543789,-0.0125543,-0.0121596,0.00967787,0.0295662
6,0.0104691,0.00520314,0.00437339,-0.0166855,0.00771379,0.00438164,4.42375E-4,-0.0113267
7,-0.00589405,-0.00477771,-0.00317089,9.31112E-4,-0.00427095,-0.00395315,0.00312478,0.0113018
8,0.00336867,-0.0081619,-0.00861023,-0.0110976,0.0139154,-0.00935721,-0.00362746,-0.00680099
9,0.00440668,-0.00284236,0.00795229,0.00371587,0.0114423,-5.64E-5,0.00517492,-0.0105965
10,-0.0152785,-0.0098414,-0.0018984,0.0188179,-0.0169817,-0.00655222,-0.00322725,0.00504316
11,0.00214464,0.00503887,0.00184454,-0.00271406,7.18856E-4,0.00249715,0.00688119,0.00852098
12,0.0,0.0145942,0.0147146,0.00209003,0.0,0.0126187,0.00594734,0.0111552
13,0.00300755,-0.00181301,-0.00237334,0.00217489,7.14056E-4,-0.00255523,-0.00334863,0.00590121
14,-0.00184651,-0.00481722,-0.00586483,0.00107068,-0.00742345,-0.0054614,-0.00681971,-0.0187548
15,-0.0466294,-0.045614,-0.0131663,-0.00376444,0.00399929,-0.0127217,-0.00685044,-0.0246291
16,0.0152073,0.0125835,0.0161322,0.00518832,0.0191692,0.0145125,0.0158133,0.0252847
17,-0.0336811,-0.0202559,-0.0247735,0.0177232,-0.0147502,-0.0231086,4.08697E-4,-0.0202718
18,-0.00335055,-0.0075094,-0.00198862,0.0107154,0.0088371,-0.00317724,0.00419627,0.00428984
19,-5.32907E-4,-0.0156367,-0.0174543,-0.0151339,-0.0162893,-0.0197393,-0.0190914,-0.0356075
20,-0.0118808,-0.0100428,-0.0194922,-0.00133817,-0.0229062,-0.0133551,-0.00960511,-0.0227292
21,0.0,-0.00605399,-0.00578963,-0.00813074,-0.00510688,-0.00776093,-0.00189657,-0.0122233
