,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63,bin_64,bin_65,bin_66
10,7,7,7,8,8,8,8,8,8,0,8,7,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,7,7,6,8,8,8,7,8,8,0,8,8,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,7,7,7,7,8,8,7,8,8,0,8,8,8,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,10,7,6,7,7,7,6,7,7,0,7,7,7,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,11,6,7,7,7,6,6,7,7,0,7,7,7,0,0,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,6,6,7,6,5,7,6,7,7,0,7,7,7,0,0,8,7,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,11,6,6,5,6,6,6,6,6,0,6,6,5,0,0,6,6,0,0,6,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,6,6,5,6,6,5,6,6,6,0,6,6,6,0,0,5,6,0,0,6,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,5,5,5,5,5,5,6,5,6,0,6,6,6,0,0,6,6,0,0,6,0,0,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5,5,5,3,4,5,6,5,6,0,6,6,6,0,0,6,6,0,0,6,0,0,6,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,12,5,4,5,5,5,5,3,5,0,5,5,5,0,0,5,5,0,0,5,0,0,5,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6,5,5,5,5,5,5,5,5,0,5,5,5,0,0,5,5,0,0,5,0,0,4,5,5,5,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,4,4,4,4,4,5,5,5,5,0,5,5,5,0,0,5,5,0,0,5,0,0,5,5,5,5,0,0,0,0,0,1,5,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,12,4,4,4,4,4,4,4,4,0,4,4,4,0,0,4,4,0,0,4,0,0,4,4,4,4,0,0,0,0,0,4,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,14,4,4,4,4,4,4,4,4,0,3,4,4,0,0,4,4,0,0,4,0,0,4,4,4,4,0,0,0,0,0,3,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,13,4,4,4,4,4,4,3,4,0,4,4,4,0,0,4,4,0,0,4,0,0,4,4,4,4,0,0,0,0,0,4,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,13,4,4,3,4,4,4,4,4,0,4,4,4,0,0,4,4,0,0,4,0,0,4,4,4,4,0,0,0,0,0,4,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,4,4,4,4,4,4,3,4,3,0,4,4,4,0,0,4,5,0,0,5,0,0,5,5,4,5,0,0,0,0,0,5,5,0,5,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,9,4,3,4,4,4,4,4,4,0,4,4,4,0,0,4,4,0,0,3,0,0,4,4,4,4,0,0,0,0,0,4,4,0,4,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,5,4,4,4,4,4,4,4,4,0,4,4,4,0,0,4,4,0,0,4,0,0,4,3,4,4,0,0,0,0,0,4,4,0,4,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,5,3,4,3,4,4,4,4,4,0,4,4,3,0,0,4,4,0,0,4,0,0,4,4,4,4,0,0,0,0,0,4,4,0,4,0,4,0,0,4,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,3,3,3,3,3,3,3,4,4,0,4,3,4,0,0,3,4,0,0,4,0,0,4,4,4,4,0,0,0,0,0,4,4,0,4,0,4,0,0,4,4,4,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3,2,3,1,3,3,3,3,3,0,3,4,4,0,0,3,4,0,0,4,0,0,4,4,4,4,0,0,0,0,0,4,4,0,4,0,4,0,0,4,4,4,0,0,1,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
33,14,1,1,3,3,3,2,3,3,0,3,3,3,0,0,3,3,0,0,3,0,0,3,3,3,3,0,0,0,0,0,3,3,0,3,0,3,0,0,3,3,3,0,0,5,1,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
34,12,3,2,3,3,3,1,3,3,0,3,2,3,0,0,3,2,0,0,3,0,0,3,3,3,3,0,0,0,0,0,3,3,0,3,0,3,0,0,3,3,3,0,0,3,3,0,0,2,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
35,10,3,3,3,3,3,0,3,3,0,3,1,3,0,0,3,3,0,0,3,0,0,3,3,3,3,0,0,0,0,0,3,3,0,3,0,3,0,0,4,3,3,0,1,3,3,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
36,8,2,3,3,3,3,0,3,2,0,3,3,2,0,0,3,3,0,0,3,0,0,3,3,3,3,0,0,0,0,0,3,3,0,3,0,3,0,0,4,3,4,0,3,3,3,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
37,8,3,3,3,3,3,0,2,3,0,3,3,3,0,0,3,3,0,0,3,0,0,3,3,2,3,0,0,0,0,0,3,3,0,3,0,3,0,0,3,3,4,0,3,3,3,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
38,9,3,3,2,2,3,0,2,2,0,3,3,3,0,0,3,3,0,0,3,0,0,3,3,3,3,0,0,0,0,0,3,3,0,3,0,3,0,0,3,3,4,0,4,3,3,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
39,8,3,2,3,3,3,0,1,3,0,3,3,3,0,0,3,3,0,0,3,0,0,3,3,3,3,0,0,0,0,0,3,3,0,3,0,3,0,0,3,3,3,0,4,3,4,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
40,6,3,3,1,3,3,0,2,0,0,3,3,3,0,0,3,3,0,0,3,0,0,3,3,3,2,0,0,0,0,0,3,3,0,3,0,3,0,0,3,3,4,0,3,3,3,0,0,3,3,0,3,3,1,1,1,1,1,0,1,0,0,0,0,0,1
41,2,2,2,2,2,2,0,2,0,0,2,2,2,0,0,1,2,0,0,2,0,0,3,3,3,3,0,0,0,0,0,2,3,0,3,0,3,0,0,3,3,3,0,3,3,4,0,0,3,3,0,3,3,3,3,3,3,3,0,3,0,0,0,0,0,3
42,2,2,1,1,2,0,0,2,0,0,2,2,2,0,0,2,2,0,0,2,0,0,3,3,3,3,0,0,0,0,0,3,3,0,3,0,3,0,0,3,3,3,0,3,3,5,1,0,3,3,0,3,3,3,3,3,3,3,0,3,0,0,0,0,0,3
43,2,1,0,2,2,0,0,2,0,0,2,2,2,0,0,1,2,0,0,2,0,0,2,3,3,3,0,0,0,0,0,3,3,0,3,0,3,0,0,3,3,3,0,3,3,6,3,1,3,3,0,2,3,3,3,3,3,3,0,3,0,0,0,0,0,3
44,2,2,0,1,1,0,0,1,0,0,2,1,2,0,0,2,2,0,0,2,0,0,3,3,3,3,0,0,0,0,0,3,3,0,3,0,3,0,0,3,3,3,0,3,3,3,4,4,3,3,0,3,3,3,2,3,3,3,0,3,0,0,0,0,0,3
45,2,1,0,2,0,0,0,2,0,0,2,2,2,0,0,1,2,0,0,2,0,0,3,3,3,3,0,0,0,0,0,3,3,0,3,0,3,0,0,3,3,3,0,3,3,5,3,2,3,3,0,3,3,3,3,3,3,3,0,3,0,0,0,0,0,3
46,2,1,0,2,0,0,0,2,0,0,1,2,2,0,0,2,3,0,0,3,0,0,3,3,3,3,0,0,0,0,0,3,3,0,3,0,3,0,0,3,2,3,0,3,3,4,3,3,3,3,0,3,3,3,3,3,2,3,0,3,0,0,0,0,0,3
47,2,2,0,2,0,0,0,2,0,0,2,2,2,0,0,2,2,0,0,2,0,0,3,3,3,3,0,0,0,0,0,3,2,0,3,0,3,0,0,3,3,3,0,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,0,3,0,0,0,0,0,3
48,2,2,0,1,0,0,0,2,0,0,2,2,1,0,0,2,2,0,0,2,0,0,2,3,3,3,0,0,0,0,0,3,3,0,3,0,3,0,0,3,3,3,0,3,3,3,3,3,3,4,1,3,3,3,3,3,3,3,0,3,0,0,0,0,0,3
49,2,1,0,0,0,0,0,1,0,0,2,2,2,0,0,2,2,0,0,2,0,0,2,2,2,3,0,0,0,0,0,2,3,0,3,0,3,0,0,3,3,3,0,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,0,3,0,0,0,0,0,3
50,2,2,0,0,0,0,0,2,0,0,2,2,2,0,0,2,2,0,0,2,0,0,2,3,3,3,0,0,0,0,0,3,3,0,3,0,3,0,0,3,3,3,0,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,0,3,0,0,0,0,0,3
