,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63,bin_64,bin_65,bin_66,bin_67,bin_68,bin_69,bin_70,bin_71,bin_72,bin_73,bin_74,bin_75,bin_76,bin_77,bin_78,bin_79,bin_80,bin_81
19,7,6,8,8,0,0,0,8,0,0,7,0,8,8,8,8,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,7,5,7,7,0,0,0,8,0,0,8,0,9,8,8,8,0,0,8,8,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,10,6,7,7,0,0,0,7,0,0,7,0,7,7,7,7,0,0,6,7,7,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6,6,5,6,0,0,0,6,0,0,7,0,7,7,7,7,0,0,7,7,7,0,0,7,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,8,5,6,6,0,0,0,6,0,0,6,0,6,6,6,6,0,0,6,6,6,0,0,6,0,0,6,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,4,5,5,0,0,0,5,0,0,5,0,5,5,5,5,0,0,5,6,5,0,0,6,0,0,5,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,6,4,4,2,0,0,0,5,0,0,5,0,5,5,5,4,0,0,5,5,5,0,0,5,0,0,5,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,4,2,4,2,0,0,0,4,0,0,4,0,4,4,4,4,0,0,4,4,4,0,0,4,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,4,4,4,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,1
27,3,2,3,1,0,0,0,3,0,0,3,0,3,3,3,3,0,0,3,3,3,0,0,3,0,0,4,0,0,0,0,4,0,3,0,1,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,4,4,4,0,4,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,4,0,4,0,4,0,0,4
28,8,3,3,3,0,0,0,3,0,0,3,0,3,3,3,2,0,0,3,3,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,3,3,3,0,3,0,0,0,0,1,3,0,0,1,0,3,1,0,0,0,0,3,0,3,0,3,0,0,3
29,2,1,2,0,0,0,0,3,0,0,2,0,3,3,3,3,0,0,3,3,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,3,3,3,0,3,0,0,0,0,3,3,0,0,4,0,3,4,0,1,0,1,4,0,3,0,3,0,0,3
30,2,2,3,0,0,0,0,2,0,0,1,0,2,3,3,3,0,0,3,3,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,3,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,3,3,3,3,0,3,0,0,0,0,3,3,0,0,3,0,3,3,0,3,0,3,3,0,3,0,3,0,0,3
31,1,2,2,0,0,0,0,0,0,0,2,0,2,3,3,2,0,0,3,3,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,3,0,1,3,0,0,0,0,0,4,0,0,0,3,0,0,3,3,3,3,0,3,0,0,0,0,3,3,0,0,3,0,3,3,0,3,0,3,3,0,3,0,3,0,0,3
32,1,1,1,0,0,0,0,0,0,0,2,0,3,1,3,3,0,0,3,2,3,0,0,2,0,0,3,0,0,0,0,3,0,4,0,3,2,3,3,0,0,0,0,0,3,0,0,0,3,0,0,3,3,3,3,0,3,0,0,0,0,3,3,0,0,3,0,3,3,0,3,0,3,3,0,3,0,3,0,0,3
33,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,2,3,0,0,3,0,0,3,0,0,0,0,3,1,3,0,4,5,3,3,0,0,0,0,0,3,0,0,0,2,0,0,3,3,3,3,0,3,0,0,0,0,3,3,0,0,3,0,3,3,0,3,0,3,3,0,3,0,3,0,0,3
34,1,1,2,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,2,3,3,0,0,3,0,0,3,0,0,0,0,3,4,3,0,3,4,3,3,0,0,0,0,0,3,0,0,0,3,0,0,4,3,3,3,0,3,0,0,0,0,2,3,0,0,3,0,3,3,0,3,0,3,3,0,3,0,3,0,0,3
35,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,3,3,0,0,3,0,0,3,0,0,0,0,3,3,3,0,4,3,3,3,0,1,0,0,0,3,0,0,0,3,0,0,3,3,4,3,0,3,0,0,1,0,3,3,0,0,3,0,3,3,0,2,0,3,3,0,3,0,3,0,0,3
36,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,3,0,0,3,0,0,0,0,3,3,3,0,3,3,3,3,0,3,0,0,0,3,0,0,0,3,0,0,3,2,3,3,1,4,0,0,4,0,3,3,0,0,3,0,3,3,0,3,0,3,3,0,3,0,3,0,0,2
37,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2,0,0,2,0,0,3,0,0,0,0,3,3,3,0,3,3,3,3,0,3,0,0,0,3,0,0,0,3,0,0,3,2,3,4,3,4,0,0,3,0,3,3,0,0,3,0,3,3,0,3,0,3,3,0,3,0,3,0,0,2
38,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,3,0,0,3,0,0,0,0,3,3,3,0,3,3,3,3,0,3,0,0,0,3,0,0,0,3,0,0,3,3,3,3,2,2,0,0,3,1,3,2,0,0,3,0,4,3,0,3,0,3,3,0,3,0,3,0,0,3
39,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,0,0,3,0,0,0,0,3,3,3,0,3,3,3,3,0,3,0,0,0,3,0,0,0,3,0,0,3,3,3,3,3,3,0,0,4,3,2,3,0,0,3,0,3,3,0,3,0,3,3,0,3,0,1,0,0,3
40,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,0,0,2,0,0,0,0,3,3,3,0,3,3,3,3,0,3,0,0,0,3,0,0,0,3,0,0,3,3,3,3,4,3,1,0,3,3,3,3,0,0,3,0,3,3,0,3,0,2,3,0,3,0,3,0,0,3
41,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,0,0,2,0,0,0,0,2,2,2,0,3,3,3,3,0,3,0,0,0,3,0,0,0,3,0,0,3,3,3,3,3,3,3,0,3,4,3,3,0,0,3,0,2,3,0,3,0,3,3,0,3,0,3,0,0,3
42,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,0,0,2,0,0,0,0,2,2,2,0,3,3,3,3,0,3,0,0,0,3,0,0,0,3,0,0,3,4,3,3,2,3,3,0,3,4,3,3,0,0,3,0,3,3,0,3,0,3,3,0,3,0,3,0,0,3
43,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,2,0,0,2,0,0,0,0,2,2,2,0,3,3,3,3,0,3,1,0,0,3,0,0,0,3,0,0,3,3,3,3,3,3,3,0,3,3,3,4,0,0,3,0,3,3,0,3,0,3,3,0,3,0,3,0,0,2
44,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,2,0,0,0,0,1,2,2,0,2,2,2,3,0,3,4,0,0,3,1,0,0,3,0,0,3,3,3,3,3,3,3,0,3,3,3,3,1,0,3,0,3,3,0,3,0,3,3,0,3,0,3,0,0,3
45,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,2,0,0,0,0,2,2,2,0,2,2,2,2,0,2,2,0,0,2,3,0,0,3,0,0,3,3,3,3,2,3,3,0,3,3,3,3,3,0,3,0,4,3,0,3,0,3,3,0,3,0,3,0,0,3
46,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,2,0,0,0,0,2,2,2,0,2,2,2,2,0,2,2,0,0,2,3,0,0,3,0,0,3,3,3,3,3,3,3,0,3,3,4,3,3,0,3,0,2,3,0,3,0,3,3,0,3,0,3,0,0,3
47,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,2,0,0,0,0,2,2,2,0,2,2,2,1,0,2,2,0,0,2,3,0,0,3,0,0,3,3,3,3,3,3,3,0,3,3,4,3,3,0,3,0,3,3,0,4,0,3,3,0,3,0,3,0,0,3
48,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,2,0,0,0,0,2,2,2,0,2,2,2,0,0,2,2,0,0,3,3,0,0,3,0,0,3,3,3,3,3,3,3,0,3,3,3,3,4,0,3,0,3,3,0,4,0,3,3,0,3,0,3,0,0,3
49,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,2,2,2,0,2,2,2,0,0,2,3,0,0,3,3,0,0,3,0,0,3,3,3,3,3,3,3,0,3,3,3,3,2,2,3,0,3,3,0,3,0,3,3,0,3,0,3,0,0,3
50,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,2,2,2,0,2,2,1,0,0,3,3,0,0,3,3,0,0,3,0,0,3,3,3,3,3,3,3,0,2,3,3,4,2,3,3,0,3,3,0,2,0,3,4,0,3,0,3,0,0,3
