,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59
10,12,8,8,8,8,0,0,8,8,8,8,8,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,13,8,8,8,8,0,0,8,8,8,8,7,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,7,7,8,7,8,0,0,8,7,8,8,8,0,8,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,10,7,7,7,7,0,0,6,7,7,7,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,11,5,6,6,6,0,0,6,6,6,6,6,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,11,5,5,5,4,0,0,5,5,5,5,5,0,5,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,4,4,4,4,5,0,0,4,5,5,5,5,0,5,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,4,4,4,4,4,0,0,4,4,4,5,5,0,5,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,4,4,4,4,3,0,0,4,4,4,5,5,0,5,5,4,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,13,4,4,4,4,0,0,4,4,3,4,4,0,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,9,4,4,4,4,0,0,4,4,4,4,4,0,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,3,4,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,9,4,4,4,4,0,0,4,4,4,4,4,0,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,4,4,4,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6,3,4,4,4,0,0,4,4,4,3,4,0,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
23,3,3,3,3,4,0,0,4,4,4,4,4,0,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,4,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0
24,3,3,3,3,3,0,0,3,4,4,4,4,0,4,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,4,0,0,4,0,0,4,0,0,4,0,3,0,0,0,0,0,0,0
25,3,3,3,3,3,0,0,3,4,4,4,4,0,4,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,0,0,0,4,0,0,4,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0
26,3,0,3,3,3,0,0,3,3,3,3,3,0,3,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,4,0,0,4,0,0,4,0,0,4,0,4,4,4,0,0,0,0,0
27,3,0,3,3,3,0,0,3,3,3,3,3,0,3,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,4,0,0,4,0,0,3,0,0,4,0,4,4,4,0,0,0,0,0
28,16,0,3,3,3,0,0,3,3,3,3,3,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,3,3,3,0,0,0,0,3
29,3,0,3,3,3,0,0,3,3,3,3,3,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,4,0,0,4,0,0,4,0,0,4,0,4,3,4,0,0,0,0,2
30,17,0,3,3,3,0,0,3,3,3,3,3,0,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,3,3,3,0,0,0,0,3
31,3,0,3,2,3,0,0,3,3,3,3,3,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,2,4,0,0,0,4,0,0,4,0,0,4,0,0,4,0,4,4,4,0,0,0,0,4
32,17,0,3,3,3,0,0,2,3,3,3,3,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,3,3,3,0,0,0,0,3
33,17,0,2,3,3,0,0,3,3,3,3,3,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,3,3,3,0,0,0,0,3
34,3,0,3,3,3,0,0,3,3,2,3,3,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,0,0,0,4,0,0,4,0,0,4,0,0,4,0,4,4,4,0,0,0,0,4
35,3,0,2,3,3,0,0,3,3,3,3,3,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,3,0,0,0,4,0,0,4,0,0,4,0,0,4,0,4,4,4,0,0,0,0,4
36,17,0,3,3,3,0,0,3,3,3,2,3,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,3,3,3,0,0,0,0,3
37,3,0,3,3,3,0,0,3,3,3,3,3,0,3,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,3,4,4,4,0,0,0,4,0,0,4,0,0,4,0,0,4,0,4,4,2,0,0,0,0,3
38,5,0,2,4,3,0,0,4,3,3,4,3,0,3,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,3,4,3,3,0,0,0,4,0,0,4,0,0,4,0,0,3,0,3,4,4,0,0,0,0,3
39,17,0,3,3,3,0,0,3,3,3,3,2,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,3,3,3,0,0,0,0,3
40,17,0,3,3,3,0,0,3,3,3,3,3,0,3,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,3,3,3,0,0,0,0,3
41,17,0,3,3,3,0,0,3,3,3,3,3,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,3,0,0,3,0,0,2,0,0,3,0,3,3,3,0,0,0,0,3
42,3,0,3,3,3,0,0,3,3,3,3,3,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,2,4,4,4,4,4,4,0,0,0,4,0,0,4,0,0,4,0,0,4,0,4,4,4,0,0,0,0,3
43,3,0,3,3,3,0,0,2,3,3,3,3,0,3,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,0,0,0,4,0,0,4,0,0,4,0,0,4,0,4,4,4,0,0,0,0,4
44,17,0,3,3,3,0,0,3,3,3,2,3,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,3,3,3,0,0,0,0,3
45,17,0,3,3,3,0,0,3,3,3,3,3,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,2,3,3,0,0,0,0,3
46,17,0,3,3,3,0,0,2,3,3,3,3,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,3,3,3,0,0,0,0,3
47,17,0,3,3,3,0,0,3,3,3,2,3,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,3,3,3,0,0,0,0,3
48,17,0,2,3,3,0,0,3,3,3,3,3,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,3,3,3,0,0,0,0,3
49,17,0,3,3,3,0,0,3,3,2,3,3,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,3,3,3,0,0,0,0,3
50,17,0,3,3,3,0,0,3,3,3,3,3,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,3,3,3,0,0,0,0,2
