,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28
0,0,0,0,0,0,11,9,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,14,8,5,3,3,2,0,0,0,4,0,2,3,0,0,3,0,0,0,3,0,0,0
2,0,0,0,0,0,12,8,4,3,2,5,0,0,0,3,0,2,5,0,0,3,0,0,0,3,0,0,0
3,0,0,0,0,0,4,5,4,5,4,5,0,0,0,5,0,5,4,0,0,5,0,0,0,4,0,0,0
4,0,0,0,0,0,7,4,4,3,3,4,0,0,0,5,0,3,4,0,0,5,0,0,0,3,5,0,0
5,0,0,0,0,0,4,4,5,5,4,3,0,0,5,3,0,2,3,0,0,4,0,0,0,2,4,2,0
6,0,0,0,0,0,5,4,3,2,2,3,0,0,4,4,0,4,4,0,0,4,0,0,0,4,4,3,0
7,0,0,0,0,0,3,4,3,2,4,4,0,0,3,4,0,4,4,0,0,4,0,0,0,3,4,4,0
8,0,0,0,0,0,2,2,3,3,3,7,0,0,4,4,0,4,4,0,0,4,0,0,0,3,4,3,0
9,0,0,0,0,0,6,5,4,0,3,4,0,0,4,3,0,4,3,0,0,3,0,0,0,4,4,3,0
10,0,0,0,0,0,3,3,2,0,4,4,0,6,4,3,0,3,4,0,0,4,0,0,0,4,3,3,0
11,0,0,0,0,0,4,3,1,0,3,3,0,4,4,4,0,4,4,0,0,4,0,0,0,4,4,4,0
12,0,0,0,0,0,4,4,4,0,4,4,0,4,4,3,0,4,3,0,0,3,0,0,0,3,4,2,0
13,0,0,0,0,0,3,3,3,0,6,3,4,3,2,3,0,4,3,0,0,3,0,0,0,4,3,3,0
14,0,0,0,0,0,3,3,3,0,5,3,3,4,3,3,0,3,2,0,0,3,0,0,0,3,3,3,3
15,0,0,0,0,0,5,3,3,0,3,3,3,3,3,3,0,3,3,0,0,3,0,0,0,3,3,3,3
16,0,0,0,0,0,3,3,3,0,3,3,2,3,2,2,6,3,2,0,0,3,0,0,0,3,3,3,3
17,0,0,0,0,0,2,3,2,0,3,3,3,3,2,3,3,3,3,0,0,3,0,0,3,3,3,3,2
18,0,0,0,0,0,2,3,3,0,6,2,3,2,2,3,3,3,1,0,0,3,0,0,3,3,3,2,3
19,0,0,0,0,0,2,2,2,0,3,2,3,3,3,3,3,3,3,0,0,2,0,0,3,4,3,3,3
20,0,0,0,0,0,1,3,2,0,2,3,3,3,3,3,3,3,3,0,0,3,0,0,3,3,3,3,3
21,0,0,0,0,0,2,3,1,0,3,2,3,3,2,2,3,4,3,0,0,1,0,0,4,4,3,4,3
