,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63,bin_64,bin_65,bin_66,bin_67,bin_68,bin_69,bin_70
10,12,8,8,8,8,8,0,8,8,8,1,9,0,0,0,8,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,10,7,6,7,8,7,0,7,7,7,7,7,0,0,0,7,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10,7,7,7,7,8,0,6,7,7,7,6,0,0,0,7,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,6,6,7,7,7,7,0,7,7,7,7,7,0,0,0,7,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,10,7,7,6,7,7,1,7,7,7,7,6,0,0,0,7,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5,6,7,6,7,6,7,7,7,7,6,7,0,0,0,7,0,0,0,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,11,6,6,6,6,6,6,6,6,5,6,6,0,0,0,6,0,0,0,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,10,6,6,6,6,6,6,6,6,6,6,6,0,0,0,5,0,0,0,6,6,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,9,6,6,5,6,5,6,6,4,5,6,6,0,0,0,6,0,0,0,6,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5,6,6,6,6,6,6,5,5,6,6,6,0,0,0,6,1,0,0,6,6,0,0,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,9,5,5,5,5,5,5,5,5,5,5,5,0,0,0,5,5,0,0,5,5,0,0,4,6,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4,4,4,5,5,5,5,5,5,5,4,4,0,0,0,5,5,1,0,5,5,1,0,5,5,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,4,2,4,4,4,4,5,4,4,5,3,6,0,0,0,5,5,5,0,5,5,5,1,5,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,10,4,4,4,4,4,4,3,4,4,4,4,1,0,0,4,4,4,0,5,4,4,4,4,4,0,0,4,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,4,4,4,4,4,3,4,4,4,4,4,4,0,0,4,4,4,0,4,4,4,4,4,4,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,5,4,4,4,4,4,4,4,4,3,4,4,4,0,0,4,4,4,0,4,4,4,4,4,4,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3,11,2,4,4,4,3,3,4,4,4,4,3,0,0,3,4,4,0,4,4,4,4,4,4,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3,6,4,4,4,4,4,4,3,4,4,4,4,0,0,4,4,4,0,4,4,4,4,4,4,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,5,4,4,4,4,4,4,4,4,4,4,4,4,0,0,3,4,4,0,4,4,4,4,4,4,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,6,4,4,3,4,4,3,4,4,4,4,4,4,0,0,4,4,4,0,4,4,4,4,5,4,0,0,4,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,5,3,4,4,4,4,4,4,4,4,3,4,4,0,0,4,4,4,0,4,4,4,4,5,4,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,5,4,4,4,3,4,4,4,4,4,4,4,4,0,0,4,4,4,0,4,4,4,4,4,4,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,5,4,4,4,3,4,4,3,4,4,4,4,4,0,0,4,4,4,0,4,4,4,4,4,5,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,5,4,4,4,4,4,4,4,4,3,4,4,3,0,0,4,4,4,0,4,4,4,4,4,5,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,5,3,4,4,3,4,4,4,4,4,4,4,4,0,0,4,4,4,0,4,4,4,4,4,4,0,1,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,3,3,3,3,3,4,3,4,4,4,4,4,0,0,4,4,4,0,4,4,3,4,4,4,0,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,3,3,3,3,3,3,3,3,3,4,4,4,4,0,0,3,4,4,0,4,4,2,4,4,5,0,4,4,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,2,1,4,2,3,3,4,4,4,3,4,4,0,0,4,4,4,0,4,2,4,4,4,4,0,4,4,0,4,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,9,3,3,3,3,3,3,3,3,3,3,3,3,0,0,3,3,3,0,3,3,3,3,3,3,0,3,2,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2,3,3,3,3,2,4,1,2,3,3,4,3,0,0,3,3,4,0,4,3,2,4,2,4,0,4,2,0,3,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,0,0,0,0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
40,5,2,3,3,2,2,3,3,3,3,3,3,3,0,0,3,3,3,0,3,3,3,3,3,3,0,3,3,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0
41,5,3,3,3,3,3,3,3,3,3,3,2,3,0,0,3,3,3,0,3,3,3,3,3,3,0,3,3,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
42,8,1,2,2,3,3,2,3,3,3,3,2,3,0,0,3,1,2,0,3,3,3,3,3,3,0,3,3,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,3,3,2,1,1,0,1,0,1,0,0,1,0,1,0
43,2,2,2,2,2,2,2,1,2,2,2,2,2,0,0,2,2,2,0,2,3,3,3,3,3,0,3,3,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,3,3,3,3,3,0,3,0,3,0,0,3,0,4,0
44,2,1,2,1,1,2,2,2,2,2,2,2,2,0,0,2,2,3,0,3,3,3,3,3,3,0,3,3,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,1,0,3,3,3,3,3,0,3,0,2,0,0,3,0,3,1
45,18,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,0,2,2,2,2,2,2,0,2,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,1,1,2,0,2,2,2,2,2,0,2,0,2,0,0,2,0,2,2
46,2,2,0,2,2,2,2,2,2,2,2,2,1,0,0,2,2,2,0,2,2,2,6,2,2,0,2,3,0,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,0,3,3,3,0,3,2,3,2,2,0,3,0,2,0,0,3,0,3,3
47,16,2,0,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,0,2,2,2,2,2,2,0,2,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,3,2,0,2,3,2,2,2,0,2,0,2,0,0,2,0,2,2
48,18,2,0,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,0,2,2,2,2,2,2,0,2,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,2,2,2,0,1,2,2,2,2,0,2,0,2,0,0,2,0,2,2
49,16,2,0,2,2,2,2,2,2,2,2,2,2,0,0,2,2,1,0,2,2,2,2,2,2,0,2,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,1,3,2,2,0,2,2,2,2,2,0,2,0,2,0,0,2,0,2,2
50,17,2,0,1,1,2,2,2,2,2,2,2,2,0,0,2,2,2,0,2,2,2,2,2,2,0,2,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,2,0,2,2,2,2,2,0,2,2,2,2,2,0,2,0,2,0,0,2,0,2,2
