,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25
0,8,8,9,7,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,7,7,7,0,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,7,7,6,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,7,7,6,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,6,7,7,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,7,7,7,0,7,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,9,7,7,0,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,6,8,6,0,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,7,7,7,0,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,6,7,7,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9,6,7,7,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,9,6,7,7,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,9,7,7,7,0,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,9,6,7,7,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,9,6,7,7,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,9,6,7,7,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6,7,7,7,0,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,9,6,7,7,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,9,7,7,6,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5,5,6,6,0,6,5,5,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,5,5,5,5,0,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,5,3,6,6,0,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,5,5,6,6,0,5,6,5,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,5,5,5,6,0,6,5,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,5,6,5,0,6,6,6,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,5,5,6,5,0,5,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,5,5,6,5,0,5,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,5,5,6,5,0,5,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,5,5,5,5,0,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,5,5,6,5,0,5,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,5,3,6,6,0,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,6,3,6,6,0,6,5,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,5,4,6,5,0,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,5,3,6,6,0,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,5,5,5,6,0,6,6,6,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,5,5,5,5,0,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,5,5,6,5,0,6,6,6,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,5,5,6,5,0,6,6,6,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,5,5,6,5,0,5,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,5,5,6,5,0,6,6,6,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,5,5,5,5,0,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,5,5,6,5,0,6,6,5,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3,6,6,5,0,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,5,4,6,5,0,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,5,5,6,6,0,6,5,5,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,5,5,6,5,0,6,6,5,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,5,5,6,5,0,5,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,5,5,5,6,0,5,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,5,5,6,5,0,6,6,5,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,5,6,6,6,0,5,6,5,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,5,6,8,0,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
