,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62
18,10,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,7,7,7,7,7,7,7,7,7,7,0,0,0,0,6,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,10,6,7,7,7,7,7,7,6,7,7,0,0,0,0,7,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,10,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6,6,7,7,7,7,7,7,10,7,7,0,0,0,0,7,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,11,7,7,7,7,7,7,7,7,7,7,0,0,0,0,6,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,9,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,0,0,0,6,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4,6,6,7,6,7,6,6,7,7,7,0,0,0,0,7,0,0,0,8,7,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,9,6,6,6,6,6,6,6,6,6,5,0,0,0,0,6,0,0,0,6,6,7,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,4,3,7,7,6,4,6,5,6,5,0,0,0,0,6,0,0,0,7,8,7,0,8,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,9,5,5,5,5,5,5,5,5,5,5,0,0,0,0,5,0,0,0,5,5,5,0,5,0,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,10,5,5,5,5,5,5,5,5,5,5,0,0,0,0,5,0,0,0,6,5,5,0,4,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,9,5,5,5,5,5,5,5,5,5,5,0,0,0,0,5,0,0,0,6,5,5,0,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,10,5,5,5,5,5,5,5,5,5,5,0,0,0,0,5,0,0,0,5,5,5,0,5,0,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,11,5,5,5,5,5,5,5,5,5,5,0,0,0,0,5,0,0,0,5,4,5,0,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,3,3,5,5,5,5,5,5,6,5,5,0,0,0,0,7,0,0,0,6,6,6,0,6,0,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,11,5,5,5,5,5,5,5,5,4,5,0,0,0,0,5,0,0,0,5,5,5,0,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,4,5,5,4,5,5,5,5,5,6,0,0,0,0,6,0,0,0,6,6,6,0,6,0,5,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,9,5,5,5,5,5,5,5,5,5,5,0,0,0,0,5,0,0,0,5,5,4,0,5,1,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,4,4,4,4,5,4,5,5,5,5,5,0,0,0,0,5,0,0,0,5,5,5,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,2,3,4,2,4,5,5,5,4,5,5,0,0,0,0,4,0,0,0,5,5,5,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0
39,7,4,4,3,4,4,4,4,4,4,4,0,0,0,0,4,0,0,0,4,4,4,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
40,5,4,4,4,4,4,3,4,4,4,4,0,0,0,0,4,0,0,0,4,4,4,0,4,4,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
41,1,2,3,3,3,3,4,4,3,4,4,0,0,0,0,4,0,0,0,4,5,3,0,4,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,5,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0
42,4,4,2,3,0,4,4,4,4,4,4,0,0,0,0,4,0,0,0,4,4,4,0,4,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,1,4,0,4,2,1,1,1,1,0,0,0,0,0,0,0
43,10,3,3,3,0,3,3,3,3,3,3,0,0,0,0,3,0,0,0,3,3,3,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,3,0,3,4,3,3,4,3,0,0,0,0,0,0,0
44,11,3,3,3,0,3,3,2,3,3,3,0,0,0,0,3,0,0,0,3,3,3,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,3,0,3,3,3,3,4,3,0,0,0,0,0,0,0
45,3,3,3,2,0,3,3,3,3,3,3,0,0,0,0,3,0,0,0,3,3,3,0,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,4,0,4,4,4,4,4,2,0,0,0,0,0,0,0
46,10,3,3,3,0,3,3,3,3,3,3,0,0,0,0,3,0,0,0,3,3,3,0,3,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,3,0,3,3,4,3,3,3,0,0,0,0,0,0,0
47,10,3,3,3,0,3,3,3,3,3,3,0,0,0,0,3,0,0,0,3,3,2,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,3,0,3,3,3,3,3,3,0,0,0,0,0,0,0
48,8,3,3,3,0,3,3,3,3,3,3,0,0,0,0,3,0,0,0,3,3,3,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,2,0,3,3,3,3,3,3,1,1,1,1,1,0,0
49,0,1,2,1,0,2,1,2,2,3,3,0,0,0,0,2,0,0,0,3,3,3,0,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,0,4,4,4,4,3,3,3,4,4,4,4,1,0
50,0,2,2,2,0,3,2,2,3,3,1,0,0,0,0,3,0,0,0,3,3,3,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,3,3,3,3,3,3,2,4,3,3,4,3,1
