,x1,x2,x3,x4,x5,x6,x7,x8,Target
0,313.0,145.0,0.0,178.0,8.0,867.0,824.0,28.0,44.39
1,102.0,153.0,0.0,192.0,0.0,887.0,942.0,3.0,4.57
2,531.3,0.0,0.0,141.8,28.2,852.1,893.7,91.0,59.2
3,225.0,0.0,0.0,181.0,0.0,1113.0,833.0,7.0,11.17
4,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56.0,53.96
5,152.6,238.7,0.0,200.0,6.3,1001.8,683.9,28.0,26.86
6,156.0,178.0,187.0,221.0,7.0,854.0,614.0,28.0,29.41
7,145.0,116.0,119.0,184.0,5.7,833.0,880.0,28.0,29.16
8,213.5,0.0,174.2,159.2,11.7,1043.6,771.9,28.0,44.64
9,149.5,236.0,0.0,175.8,12.6,846.8,892.7,28.0,32.96
10,314.0,0.0,113.0,170.0,10.0,925.0,783.0,28.0,38.46
11,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.9
12,193.5,290.2,0.0,185.7,0.0,998.2,704.3,28.0,32.63
13,331.0,0.0,0.0,192.0,0.0,879.0,825.0,3.0,13.52
14,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,100.0,43.58
15,322.0,0.0,0.0,203.0,0.0,974.0,800.0,14.0,20.77
16,158.4,0.0,194.9,219.7,11.0,897.7,712.9,28.0,8.54
17,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.3
18,491.0,26.0,123.0,210.0,3.9,882.0,699.0,56.0,59.59
19,387.0,20.0,94.0,157.0,14.3,938.0,845.0,3.0,22.75
20,323.7,282.8,0.0,183.8,10.3,942.7,659.9,7.0,49.8
21,355.9,0.0,141.6,193.3,11.0,801.4,778.4,28.0,40.87
22,446.0,24.0,79.0,162.0,11.6,967.0,712.0,28.0,44.42
23,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3
24,382.0,0.0,0.0,185.0,0.0,1047.0,739.0,7.0,24.0
25,332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.05
26,251.4,0.0,118.3,188.5,6.4,1028.4,757.7,3.0,13.12
27,325.6,166.4,0.0,174.0,8.9,881.6,790.0,28.0,61.24
28,190.3,0.0,125.2,161.9,9.9,1088.1,802.6,28.0,28.47
29,350.0,0.0,0.0,203.0,0.0,974.0,775.0,180.0,32.72
30,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,3.0,41.64
31,251.4,0.0,118.3,192.9,5.8,1043.6,754.3,14.0,20.73
32,212.6,0.0,100.4,159.4,10.4,1003.8,903.8,100.0,47.74
33,160.0,128.0,122.0,182.0,6.4,824.0,879.0,28.0,39.4
34,183.9,122.6,0.0,203.5,0.0,959.2,800.0,7.0,10.79
35,303.6,139.9,0.0,213.5,6.2,895.5,722.5,28.0,33.42
36,295.0,0.0,0.0,185.0,0.0,1069.0,769.0,7.0,14.8
37,480.0,0.0,0.0,192.0,0.0,936.0,721.0,3.0,24.39
38,236.0,0.0,0.0,193.0,0.0,968.0,885.0,365.0,25.08
39,446.0,24.0,79.0,162.0,10.3,967.0,712.0,28.0,53.39
40,213.8,98.1,24.5,181.7,6.7,1066.0,785.5,100.0,49.97
41,133.0,210.0,0.0,196.0,3.0,949.0,795.0,28.0,31.03
42,246.8,0.0,125.1,143.3,12.0,1086.8,800.9,28.0,52.5
43,192.0,288.0,0.0,192.0,0.0,929.8,716.1,90.0,50.73
44,143.0,169.4,142.7,190.7,8.4,967.4,643.5,28.0,29.73
45,168.0,42.1,163.8,121.8,5.7,1058.7,780.1,3.0,7.75
46,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,180.0,41.05
47,168.0,42.1,163.8,121.8,5.7,1058.7,780.1,100.0,39.23
48,405.0,0.0,0.0,175.0,0.0,1120.0,695.0,28.0,52.3
49,167.0,187.0,195.0,185.0,7.0,898.0,636.0,28.0,23.89
50,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,90.0,47.22
51,213.8,98.1,24.5,181.7,6.7,1066.0,785.5,3.0,13.18
52,250.0,0.0,95.7,187.4,5.5,956.9,861.2,56.0,38.33
53,376.0,0.0,0.0,214.6,0.0,1003.5,762.4,100.0,43.06
54,213.7,0.0,174.7,154.8,10.2,1053.5,776.4,28.0,40.15
55,233.8,0.0,94.6,197.9,4.6,947.0,852.2,14.0,22.14
56,401.8,94.7,0.0,147.4,11.4,946.8,852.1,7.0,54.1
57,238.1,0.0,94.1,186.7,7.0,949.9,847.0,100.0,44.3
58,272.8,181.9,0.0,185.7,0.0,1012.4,714.3,28.0,31.38
59,173.0,116.0,0.0,192.0,0.0,946.8,856.8,7.0,11.39
